"name","retracted","formal","crit","I","II","qual"
"PRELUDIUM 1",1,1,12,43,19,25
"PRELUDIUM 2",0,14,4,52,14,15
"PRELUDIUM 3",0,7,1,42,24,26
"PRELUDIUM 4",0,4,2,49,22,23
"PRELUDIUM 5",1,5,1,50,20,23
"PRELUDIUM 6",1,10,1,55,16,17
"PRELUDIUM 7",1,4,1,66,14,14
"PRELUDIUM 8",0,3,1,63,16,17
"PRELUDIUM 9",1,4,1,57,14,23
"PRELUDIUM 10",0,4,2,50,19,25
"PRELUDIUM 11",0,5,2,47,16,30
"PRELUDIUM 12",0,3,1,49,15,32
"PRELUDIUM 13",0,3,1,50,18,27
"PRELUDIUM 14",0,1,2,51,22,24
"PRELUDIUM 15",0,2,1,53,22,23
"PRELUDIUM 16",0,2,0,56,18,24
"PRELUDIUM 17",0,2,1,61,17,19