"name","budget","1year","2year","3year"
"PRELUDIUM 1",16,NA,NA,NA
"PRELUDIUM 2",45,NA,NA,NA
"PRELUDIUM 3",30,50,100,150
"PRELUDIUM 4",30,50,100,150
"PRELUDIUM 5",30,50,100,150
"PRELUDIUM 6",30,50,100,150
"PRELUDIUM 7",30,50,100,150
"PRELUDIUM 8",30,50,100,150
"PRELUDIUM 9",30,50,100,150
"PRELUDIUM 10",30,50,100,150
"PRELUDIUM 11",30,50,100,150
"PRELUDIUM 12",30,50,100,150
"PRELUDIUM 13",30,60,120,180
"PRELUDIUM 14",40,70,140,210
"PRELUDIUM 15",40,70,140,210
"PRELUDIUM 16",40,70,140,210
"PRELUDIUM 17",40,70,140,210