panel,złożonych,w I etapie,w II etapie,finansowanych,edition
HS1,25,25.0,10,7,17
HS2,72,72.0,25,12,17
HS3,41,38.0,16,10,17
HS4,69,66.0,24,14,17
HS5,73,72.0,24,12,17
HS6,78,76.0,29,14,17
NZ1,13,13.0,5,2,17
NZ2,13,13.0,4,2,17
NZ3,35,35.0,12,7,17
NZ4,25,24.0,9,5,17
NZ5,75,75.0,25,14,17
NZ6,21,21.0,8,4,17
NZ7,61,60.0,23,12,17
NZ8,34,34.0,13,7,17
NZ9,63,61.0,20,11,17
ST1,16,16.0,9,4,17
ST2,22,21.0,10,5,17
ST3,13,13.0,6,3,17
ST4,68,68.0,30,17,17
ST5,105,103.0,38,18,17
ST6,12,10.0,3,2,17
ST7,29,27.0,12,6,17
ST8,59,58.0,21,10,17
ST9,8,8.0,5,2,17
ST10,64,61.0,22,12,17
HS1,21,21.0,8,4,16
HS2,51,50.0,14,7,16
HS3,50,49.0,19,12,16
HS4,75,68.0,25,15,16
HS5,57,50.0,16,8,16
HS6,68,68.0,31,17,16
NZ1,24,24.0,12,7,16
NZ2,17,16.0,9,5,16
NZ3,23,22.0,13,7,16
NZ4,37,37.0,11,8,16
NZ5,66,66.0,22,13,16
NZ6,16,16.0,7,4,16
NZ7,73,73.0,34,17,16
NZ8,43,42.0,18,11,16
NZ9,81,79.0,26,20,16
ST1,9,8.0,6,4,16
ST2,16,16.0,11,6,16
ST3,13,13.0,8,4,16
ST4,49,49.0,28,16,16
ST5,66,65.0,25,15,16
ST6,27,26.0,11,6,16
ST7,23,23.0,12,6,16
ST8,112,108.0,48,27,16
ST9,9,9.0,6,3,16
ST10,62,58.0,27,14,16
HS1,23,22.0,11,6,15
HS2,81,80.0,29,8,15
HS3,55,54.0,31,16,15
HS4,84,82.0,31,14,15
HS5,72,66.0,21,13,15
HS6,63,61.0,27,12,15
NZ1,29,29.0,14,8,15
NZ2,17,16.0,8,5,15
NZ3,33,32.0,17,9,15
NZ4,40,39.0,18,10,15
NZ5,59,57.0,25,13,15
NZ6,25,25.0,12,6,15
NZ7,56,55.0,25,14,15
NZ8,34,34.0,16,9,15
NZ9,87,87.0,41,20,15
ST1,21,21.0,14,7,15
ST2,17,17.0,11,6,15
ST3,16,16.0,10,5,15
ST4,39,39.0,21,12,15
ST5,71,70.0,35,18,15
ST6,23,23.0,11,6,15
ST7,25,25.0,12,6,15
ST8,111,111.0,42,25,15
ST9,3,3.0,2,1,15
ST10,48,48.0,21,10,15
HS1,16,16.0,9,5,14
HS2,63,63.0,15,11,14
HS3,56,56.0,30,16,14
HS4,54,53.0,24,12,14
HS5,74,72.0,38,17,14
HS6,63,62.0,29,16,14
NZ1,39,39.0,19,10,14
NZ2,18,18.0,9,5,14
NZ3,35,35.0,18,10,14
NZ4,38,38.0,17,9,14
NZ5,66,66.0,29,13,14
NZ6,18,17.0,8,4,14
NZ7,68,67.0,31,16,14
NZ8,43,42.0,18,9,14
NZ9,79,78.0,36,18,14
ST1,14,14.0,7,4,14
ST2,19,19.0,13,7,14
ST3,18,17.0,11,5,14
ST4,45,45.0,24,14,14
ST5,90,90.0,42,19,14
ST6,21,21.0,9,4,14
ST7,22,22.0,11,6,14
ST8,127,122.0,55,27,14
ST9,6,6.0,4,2,14
ST10,62,62.0,29,16,14
HS1,34,33.0,15,12,13
HS2,61,56.0,15,9,13
HS3,51,49.0,24,15,13
HS4,79,74.0,22,20,13
HS5,71,65.0,19,16,13
HS6,79,79.0,32,20,13
NZ1,32,32.0,19,11,13
NZ2,15,15.0,9,4,13
NZ3,41,41.0,22,13,13
NZ4,35,35.0,14,8,13
NZ5,61,61.0,29,19,13
NZ6,27,25.0,14,8,13
NZ7,68,66.0,30,18,13
NZ8,42,42.0,18,12,13
NZ9,75,74.0,37,21,13
ST1,19,19.0,8,6,13
ST2,18,18.0,13,8,13
ST3,18,18.0,12,6,13
ST4,36,34.0,22,11,13
ST5,98,98.0,52,28,13
ST6,19,18.0,9,5,13
ST7,24,24.0,13,8,13
ST8,115,108.0,58,28,13
ST9,4,4.0,3,2,13
ST10,58,57.0,32,16,13
HS1,24,23.0,13,8,12
HS2,40,40.0,14,7,12
HS3,54,49.0,29,16,12
HS4,73,69.0,31,23,12
HS5,49,44.0,22,12,12
HS6,59,58.0,23,16,12
NZ1,35,35.0,17,13,12
NZ2,18,17.0,9,8,12
NZ3,34,34.0,20,13,12
NZ4,41,40.0,20,15,12
NZ5,66,63.0,25,16,12
NZ6,27,25.0,13,7,12
NZ7,73,71.0,32,21,12
NZ8,49,48.0,18,13,12
NZ9,76,74.0,39,31,12
ST1,18,17.0,10,7,12
ST2,16,15.0,11,7,12
ST3,19,18.0,11,8,12
ST4,48,48.0,24,19,12
ST5,104,103.0,41,32,12
ST6,19,19.0,9,7,12
ST7,26,24.0,9,8,12
ST8,132,130.0,64,39,12
ST9,6,5.0,4,3,12
ST10,65,63.0,35,23,12
HS1,33,29.0,16,10,11
HS2,45,43.0,12,8,11
HS3,54,50.0,26,16,11
HS4,73,68.0,28,13,11
HS5,40,34.0,12,8,11
HS6,72,71.0,30,20,11
NZ1,36,34.0,18,16,11
NZ2,21,21.0,12,9,11
NZ3,32,31.0,17,9,11
NZ4,44,44.0,21,13,11
NZ5,68,66.0,32,22,11
NZ6,34,33.0,17,10,11
NZ7,62,60.0,29,18,11
NZ8,38,38.0,18,13,11
NZ9,85,82.0,39,25,11
ST1,21,19.0,12,8,11
ST2,16,15.0,11,7,11
ST3,22,21.0,12,8,11
ST4,42,38.0,20,15,11
ST5,103,94.0,44,33,11
ST6,32,31.0,18,13,11
ST7,32,30.0,17,13,11
ST8,132,124.0,57,32,11
ST9,8,8.0,6,5,11
ST10,51,48.0,23,16,11
HS1,18,17.0,7,4,10
HS2,57,56.0,12,7,10
HS3,41,40.0,20,15,10
HS4,66,53.0,20,11,10
HS5,55,51.0,20,14,10
HS6,56,54.0,20,14,10
NZ1,41,40.0,22,11,10
NZ2,15,15.0,8,5,10
NZ3,49,47.0,18,12,10
NZ4,40,38.0,20,11,10
NZ5,62,59.0,26,14,10
NZ6,30,30.0,15,8,10
NZ7,87,87.0,38,20,10
NZ8,33,33.0,15,8,10
NZ9,71,65.0,25,18,10
ST1,23,23.0,13,7,10
ST2,20,20.0,15,8,10
ST3,16,16.0,12,5,10
ST4,47,46.0,24,13,10
ST5,95,93.0,39,24,10
ST6,19,16.0,9,5,10
ST7,33,33.0,16,9,10
ST8,126,119.0,60,29,10
ST9,5,5.0,4,2,10
ST10,65,63.0,34,16,10
NZ1,41,41.0,15,12,9
NZ2,33,33.0,15,11,9
NZ3,53,50.0,18,13,9
NZ4,51,50.0,20,14,9
NZ5,66,63.0,22,15,9
NZ6,42,42.0,16,12,9
NZ7,87,85.0,32,18,9
NZ8,49,44.0,16,13,9
NZ9,99,94.0,35,22,9
ST1,26,25.0,13,6,9
ST2,23,22.0,14,7,9
ST3,26,24.0,12,8,9
ST4,59,53.0,25,16,9
ST5,116,116.0,45,29,9
ST6,24,24.0,10,9,9
ST7,51,50.0,17,14,9
ST8,117,109.0,48,29,9
ST9,14,14.0,8,6,9
ST10,59,52.0,27,12,9
HS1,27,27.0,11,4,9
HS2,76,72.0,19,8,9
HS3,60,58.0,22,14,9
HS4,86,81.0,25,15,9
HS5,45,41.0,16,10,9
HS6,97,96.0,31,19,9
NZ1,36,35.0,14,7,8
NZ2,28,27.0,12,5,8
NZ3,56,52.0,21,9,8
NZ4,62,60.0,20,12,8
NZ5,93,90.0,29,15,8
NZ6,37,32.0,11,5,8
NZ7,110,109.0,36,18,8
NZ8,54,53.0,18,9,8
NZ9,137,134.0,47,23,8
ST1,16,16.0,9,5,8
ST2,17,17.0,8,5,8
ST3,17,16.0,8,4,8
ST4,78,78.0,32,16,8
ST5,133,133.0,50,25,8
ST6,45,45.0,17,9,8
ST7,61,58.0,24,12,8
ST8,164,163.0,46,25,8
ST9,15,15.0,9,4,8
ST10,73,69.0,27,11,8
HS1,34,32.0,7,4,8
HS2,83,79.0,24,12,8
HS3,88,87.0,26,13,8
HS4,88,87.0,22,13,8
HS5,77,72.0,16,13,8
HS6,92,91.0,28,13,8
NZ1,42,42.0,12,6,7
NZ2,31,30.0,8,5,7
NZ3,45,43.0,12,7,7
NZ4,47,44.0,13,6,7
NZ5,67,59.0,21,10,7
NZ6,42,39.0,12,5,7
NZ7,93,89.0,26,13,7
NZ8,52,48.0,16,8,7
NZ9,98,86.0,28,14,7
ST1,40,40.0,18,9,7
ST2,32,32.0,14,6,7
ST3,24,22.0,8,4,7
ST4,74,70.0,22,13,7
ST5,131,128.0,40,21,7
ST6,38,38.0,13,7,7
ST7,39,37.0,11,5,7
ST8,128,128.0,37,18,7
ST9,21,18.0,6,3,7
ST10,80,78.0,18,9,7
HS1,47,47.0,12,7,7
HS2,108,100.0,27,12,7
HS3,103,98.0,29,15,7
HS4,108,102.0,26,14,7
HS5,74,68.0,21,10,7
HS6,103,102.0,24,13,7
NZ1,53,49.0,18,11,6
NZ2,31,26.0,11,5,6
NZ3,38,34.0,14,7,6
NZ4,53,47.0,19,11,6
NZ5,89,76.0,28,11,6
NZ6,38,32.0,12,8,6
NZ7,106,95.0,42,21,6
NZ8,57,42.0,17,8,6
NZ9,105,88.0,35,19,6
ST1,26,25.0,12,5,6
ST2,27,25.0,12,6,6
ST3,24,21.0,9,4,6
ST4,67,57.0,29,15,6
ST5,135,118.0,52,27,6
ST6,43,40.0,16,8,6
ST7,42,41.0,17,9,6
ST8,127,111.0,33,22,6
ST9,6,5.0,2,1,6
ST10,88,79.0,29,15,6
HS1,51,49.0,17,9,6
HS2,96,91.0,26,15,6
HS3,95,90.0,30,14,6
HS4,126,113.0,35,18,6
HS5,85,78.0,23,12,6
HS6,87,81.0,24,11,6
NZ1,43,43.0,18,11,5
NZ2,38,36.0,14,11,5
NZ3,49,48.0,21,14,5
NZ4,53,45.0,21,13,5
NZ5,65,64.0,29,14,5
NZ6,31,29.0,14,7,5
NZ7,98,96.0,47,23,5
NZ8,61,55.0,27,15,5
NZ9,106,101.0,52,25,5
ST1,29,29.0,18,9,5
ST2,19,19.0,13,8,5
ST3,31,29.0,18,9,5
ST4,45,40.0,21,13,5
ST5,118,112.0,56,27,5
ST6,47,47.0,27,14,5
ST7,41,41.0,27,14,5
ST8,126,122.0,49,33,5
ST9,11,11.0,8,5,5
ST10,95,91.0,29,15,5
HS1,65,60.0,26,13,5
HS2,96,89.0,38,18,5
HS3,96,92.0,40,20,5
HS4,106,92.0,34,20,5
HS5,95,87.0,38,20,5
HS6,93,84.0,37,17,5
NZ1,40,38.0,19,11,4
NZ2,32,31.0,17,9,4
NZ3,48,46.0,22,12,4
NZ4,58,56.0,30,14,4
NZ5,67,61.0,18,11,4
NZ6,34,29.0,15,7,4
NZ7,92,84.0,37,19,4
NZ8,63,60.0,20,15,4
NZ9,111,103.0,50,25,4
ST1,26,25.0,15,9,4
ST2,13,13.0,9,4,4
ST3,27,27.0,17,8,4
ST4,49,48.0,27,15,4
ST5,132,130.0,73,37,4
ST6,49,46.0,20,10,4
ST7,46,46.0,25,13,4
ST8,118,114.0,51,26,4
ST9,13,13.0,8,5,4
ST10,87,85.0,36,19,4
HS1,26,24.0,13,6,4
HS2,102,99.0,42,21,4
HS3,85,85.0,40,19,4
HS4,92,84.0,33,15,4
HS5,48,48.0,20,11,4
HS6,75,67.0,31,14,4
HS1,41,41.0,20,11,3
HS2,83,79.0,44,23,3
HS3,92,86.0,46,25,3
HS4,92,90.0,48,25,3
HS5,63,61.0,32,15,3
HS6,68,65.0,29,15,3
ST1,38,36.0,24,12,3
ST2,21,21.0,13,8,3
ST3,29,28.0,16,8,3
ST4,56,48.0,34,20,3
ST5,144,126.0,90,43,3
ST6,54,47.0,31,15,3
ST7,45,42.0,20,9,3
ST8,132,122.0,60,30,3
ST9,12,11.0,8,5,3
ST10,79,72.0,33,16,3
NZ1,53,52.0,20,14,3
NZ2,40,36.0,21,10,3
NZ3,38,36.0,18,10,3
NZ4,61,59.0,27,13,3
NZ5,87,82.0,34,24,3
NZ6,26,26.0,15,7,3
NZ7,101,89.0,48,23,3
NZ8,57,53.0,20,12,3
NZ9,110,99.0,55,23,3
HS1,50,,13,7,2
HS2,138,,35,16,2
HS3,121,,39,23,2
HS4,138,,38,20,2
HS5,68,,21,13,2
HS6,135,,47,26,2
NZ1,67,,19,8,2
NZ2,74,,21,12,2
NZ3,78,,21,12,2
NZ4,78,,20,10,2
NZ5,100,,18,11,2
NZ6,39,,12,5,2
NZ7,109,,23,10,2
NZ8,98,,20,10,2
NZ9,181,,32,13,2
ST1,51,,17,10,2
ST2,37,,20,8,2
ST3,44,,14,8,2
ST4,99,,41,20,2
ST5,191,,74,32,2
ST6,69,,26,11,2
ST7,91,,31,16,2
ST8,237,,71,37,2
ST9,20,,8,4,2
ST10,125,,30,16,2
HS1,45,,18,13,1
HS2,119,,64,36,1
HS3,100,,41,23,1
HS4,137,,55,38,1
HS5,65,,33,27,1
HS6,163,,71,32,1
NZ1,80,,36,20,1
NZ2,66,,26,19,1
NZ3,65,,18,14,1
NZ4,121,,50,32,1
NZ5,91,,34,18,1
NZ6,41,,14,7,1
NZ7,84,,31,17,1
NZ8,83,,34,21,1
NZ9,183,,73,34,1
ST1,65,,29,13,1
ST2,47,,27,17,1
ST3,45,,27,13,1
ST4,94,,43,24,1
ST5,198,,101,57,1
ST6,70,,34,21,1
ST7,69,,38,23,1
ST8,186,,83,45,1
ST9,38,,20,10,1
ST10,153,,63,38,1
